code,area,year,total_incidents,total_action_taken,warning_letters,fixed_penalty_notices,statutory_notices,formal_cautions,injunctions,prosecutions
E09000002,Barking and Dagenham,2023-24,"3,624",103,0,103,0,0,0,0
E09000003,Barnet,2023-24,"8,796",39,0,39,0,0,0,0
E09000004,Bexley Council,2023-24,"4,318","1,957",0,"1,890",0,0,0,63
E09000005,Brent,2023-24,"27,023","7,713",920,"2,816",345,0,0,1
E09000006,Bromley,2023-24,"4,619",168,3,52,2,2,0,12
E09000007,Camden,2023-24,"34,786","35,897",0,499,379,0,0,0
E09000008,Croydon,2023-24,"35,470",109,0,1,5,0,0,0
E09000009,Ealing,2023-24,"16,828","5,096",77,"2,644",84,10,0,0
E09000010,Enfield,2023-24,"7,598","13,982",35,"5,769",54,0,0,149
E09000011,Greenwich,2023-24,"13,516","2,754",192,236,100,0,0,0
E09000012,Hackney,2023-24,"33,464","1,732",495,68,4,8,0,0
E09000013,Hammersmith and Fulham,2023-24,"11,877","8,490",412,"1,873",311,1,0,2
E09000014,Haringey,2023-24,"16,508","2,601",7,"1,518","1,076",0,0,0
E09000015,Harrow,2023-24,"12,609","2,595",9,"1,201",1,8,0,0
E09000016,Havering,2023-24,"3,361","5,557","2,502",692,96,0,0,2
E09000017,Hillingdon,2023-24,"10,099",81,0,36,0,0,0,0
E09000018,Hounslow,2023-24,"27,241",458,57,8,2,0,0,0
E09000019,Islington,2023-24,"1,347","4,303",765,"2,003",464,0,0,0
E09000020,Kensington and Chelsea,2023-24,"7,153","8,473",0,"1,334",0,0,0,0
E09000021,Kingston Upon Thames,2023-24,"2,935","1,008",1,37,34,0,0,0
E09000022,Lambeth,2023-24,"10,787","3,840",59,685,732,0,0,0
E09000023,Lewisham,2023-24,"27,599","3,749",216,"1,021",452,47,0,15
E09000024,Merton,2023-24,"16,116","5,942","4,042",837,22,0,0,0
E09000025,Newham,2023-24,"19,629","7,117",2,"1,552","1,144",0,0,1
E09000026,Redbridge,2023-24,"6,637","10,442",515,826,556,0,0,35
E09000027,Richmond Upon Thames,2023-24,"4,441","1,736",16,274,0,0,0,0
E09000028,Southwark,2023-24,"22,912","2,818",0,783,359,0,0,0
E09000029,Sutton,2023-24,"4,173",780,16,152,0,0,0,0
E09000030,Tower Hamlets,2023-24,"6,744","24,205","1,712",508,202,0,0,2
E09000031,Waltham Forest,2023-24,"9,431","9,753",822,"4,847",7,0,0,0
E09000032,Wandsworth,2023-24,"5,032","9,844",28,"2,818",0,0,0,0
E09000033,Westminster,2023-24,"25,531","18,159",373,"1,721","1,450",0,0,2
